simp.id	name
Solyc06g053930	SlCML1
Solyc03g005240	SlCML2
Solyc01g105630	SlCML3
Solyc04g008000	SlCML4
Solyc03g083520	SlCML5
Solyc12g009630	SlCML6
Solyc01g005370	SlCML7
Solyc03g097100	SlCML8
Solyc02g091480	SlCML9
Solyc04g026350	SlCML10
Solyc11g072270	SlCML11
Solyc02g090810	SlCML12
Solyc02g091500	SlCML13
Solyc06g083000	SlCML14
Solyc09g055880	SlCML15
Solyc01g010020	SlCML16
Solyc02g067220	SlCML17
Solyc03g115930	SlCML18
Solyc05g050750	SlCML19
Solyc11g044920	SlCML20
Solyc12g005040	SlCML21
Solyc02g063350	SlCML22
Solyc03g114420	SlCML23
Solyc12g088850	SlCML24
Solyc12g088860	SlCML25
Solyc03g118810	SlCML26
Solyc02g063340	SlCML27
Solyc02g065000	SlCML28
Solyc06g068960	SlCML29
Solyc01g108190	SlCML30
Solyc03g044900	SlCML31
Solyc02g065010	SlCML32
Solyc06g073830	SlCML33
Solyc10g079420	SlCML34
Solyc03g005040	SlCML35
Solyc09g092020	SlCML36
Solyc02g094000	SlCML37
Solyc04g018110	SlCML38
Solyc11g071740	SlCML39
Solyc11g071750	SlCML40
Solyc11g071760	SlCML41
Solyc04g058160	SlCML42
Solyc01g090920	SlCML43
Solyc04g058170	SlCML44
Solyc10g074740	SlCML45
Solyc03g031630	SlCML46
Solyc10g005750	SlCML47
Solyc11g068460	SlCML48
Solyc04g079080	SlCML49
Solyc10g079890	SlCML50
Solyc01g058720	SlCML51
Solyc04g016400	SlCML52
Solyc01g008950	SlCaM1
Solyc10g081170	SlCaM2
Solyc10g077010	SlCaM3
Solyc11g072240	SlCaM4
Solyc12g099990	SlCaM5
Solyc03g098050	SlCaM6
