simp.id	name
Solyc01g005880	SlCEXT1
Solyc01g005890	SlCEXT2
Solyc01g097680	SlCEXT3
Solyc01g097690	SlCEXT4
Solyc01g097700	SlCEXT5
Solyc01g097710	SlCEXT6
Solyc01g097720	SlCEXT7
Solyc01g107220	SlCEXT8
Solyc02g030220	SlCEXT9
Solyc03g082770	SlCEXT10
Solyc03g117190	SlCEXT11
Solyc04g071070	SlCEXT12
Solyc04g071080	SlCEXT13
Solyc06g076420	SlCEXT14
Solyc09g098510	SlCEXT15
Solyc10g049580	SlCEXT16
Solyc11g065910	SlCEXT17
Solyc01g006390	SlSEXT1
Solyc01g065510	SlSEXT2
Solyc03g111240	SlSEXT3
Solyc03g112490	SlSEXT4
Solyc03g116200	SlSEXT5
Solyc04g007670	SlSEXT6
Solyc04g071100	SlSEXT7
Solyc05g008110	SlSEXT8
Solyc06g009760	SlSEXT9
Solyc06g053720	SlSEXT10
Solyc06g068530	SlSEXT11
Solyc08g068260	SlSEXT12
Solyc08g078020	SlSEXT13
Solyc09g075580	SlSEXT14
Solyc10g084190	SlSEXT15
Solyc12g038710	SlSEXT16
Solyc12g038860	SlSEXT17
Solyc12g098800	SlSEXT18
Solyc01g108900	SlLRX1
Solyc10g050470	SlLRX2
Solyc11g005150	SlLRX3
Solyc12g006980	SlLRX4
Solyc12g088950	SlLRX5
Solyc01g010030	SlPERK1
Solyc02g062790	SlPERK2
Solyc02g085430	SlPERK3
Solyc03g034060	SlPERK4
Solyc04g006930	SlPERK5
Solyc05g010140	SlPERK6
Solyc12g007110	SlPERK7
Solyc02g092470	SlFEXT1
Solyc03g044060	SlFEXT2
Solyc06g069670	SlFEXT3
Solyc07g005480	SlFEXT4
Solyc10g006540	SlFEXT5
Solyc12g010110	SlFEXT6
Solyc12g019480	SlFEXT7
Solyc01g107710	SlOEXT1
Solyc02g078050	SlOEXT2
Solyc02g089250	SlOEXT3
Solyc03g116230	SlOEXT4
Solyc03g121230	SlOEXT5
Solyc10g084200	SlOEXT6
Solyc12g038700	SlOEXT7
Solyc12g098780	SlOEXT8
