simp.id	name
Solyc09g007020	SlPR1
Solyc09g007010	SlPR1
Solyc09g005950	SlPR
Solyc08g068990	SlPR
Solyc07g006710	SlPR
Solyc07g006700	SlPR
Solyc02g065470	SlPR
Solyc01g106640	SlPR1
Solyc01g106620	SlPR1
Solyc01g106610	SlPR
Solyc01g106600	SlPR1
Solyc00g174340	SlPR
Solyc09g006010	SlPR
Solyc01g106605	SlPR1
Solyc01g008610	SlPR2
Solyc01g008620	SlPR2
Solyc10g079860	SlPR2
Solyc07g005080	SlPR3
Solyc07g005090	SlPR3
Solyc07g005100	SlPR3
Solyc07g005110	SlPR3
Solyc01g097240	SlPR4
Solyc01g097280	SlPR4
Solyc04g079890	SlPR5
Solyc04g081560	SlPR5
Solyc01g111330	SlPR5
Solyc02g083760	SlPR5
Solyc09g084470	SlPR6
Solyc09g083430	SlPR6
Solyc09g084450	SlPR6
Solyc09g084460	SlPR6
Solyc09g084480	SlPR6
Solyc09g084490	SlPR6
Solyc09g083435	SlPR6
Solyc09g089530	SlPR6
Solyc09g084440	SlPR6
Solyc10g086090	SlPR6
Solyc10g086100	SlPR6
Solyc08g080630	SlPR6
Solyc02g032940	SlPR7
Solyc02g080880	SlPR7
Solyc07g051850	SlPR7
Solyc01g095250	SlPR8
Solyc01g095260	SlPR8
Solyc01g095310	SlPR8
Solyc05g050130	SlPR8
Solyc01g006290	SlPR9
Solyc01g006300	SlPR9
Solyc03g117450	SlPR10
Solyc03g117460	SlPR10
Solyc05g054380	SlPR10
Solyc09g090980	SlPR10
Solyc09g090990	SlPR10
Solyc01g011495	SlPR12
Solyc07g009260	SlPR12
Solyc06g005770	SlPR14
Solyc08g067500	SlPR14
Solyc08g067510	SlPR14
Solyc09g008500	SlPR14
Solyc09g018010	SlPR14
Solyc10g075050	SlPR14
Solyc10g075060	SlPR14
Solyc10g075070	SlPR14
Solyc10g075090	SlPR14
Solyc10g075100	SlPR14
Solyc10g075103	SlPR14
Solyc10g075107	SlPR14
Solyc10g075110	SlPR14
Solyc10g075118	SlPR14
Solyc10g076200	SlPR14
Solyc03g113570	SlPR15
Solyc03g113580	SlPR15
Solyc01g102890	SlPR16
Solyc01g102910	SlPR16
Solyc01g102895	SlPR16
Solyc01g080800	SlPR17
Solyc01g080790	SlPR17
