simp.id	name	name1
Solyc10g079240	SlSUN1	SlIQD1
Solyc01g009340	SlSUN2	SlIQD2
Solyc01g088250	SlSUN3	SlIQD3
Solyc01g097490	SlSUN4	SlIQD4
Solyc02g077260	SlSUN5	SlIQD5
Solyc02g087760	SlSUN7	SlIQD7
Solyc03g026110	SlSUN8	SlIQD8
Solyc03g083100	SlSUN10	SlIQD10
Solyc03g121760	SlSUN11	SlIQD11
Solyc04g016480	SlSUN12	SlIQD12
Solyc04g050050	SlSUN13	SlIQD13
Solyc04g081210	SlSUN14	SlIQD14
Solyc05g007130	SlSUN15	SlIQD15
Solyc06g052010	SlSUN16	SlIQD16
Solyc06g053450	SlSUN17	SlIQD17
Solyc06g066430	SlSUN18	SlIQD18
Solyc08g007920	SlSUN19	SlIQD19
Solyc08g007930	SlSUN20	SlIQD20
Solyc08g014280	SlSUN21	SlIQD21
Solyc08g062940	SlSUN22	SlIQD22
Solyc08g080470	SlSUN23	SlIQD23
Solyc08g083240	SlSUN24	SlIQD24
Solyc09g007410	SlSUN25	SlIQD25
Solyc09g082560	SlSUN26	SlIQD26
Solyc10g005000	SlSUN27	SlIQD27
Solyc10g008790	SlSUN28	SlIQD28
Solyc10g084280	SlSUN29	SlIQD29
Solyc10g086060	SlSUN30	SlIQD30
Solyc11g071840	SlSUN31	SlIQD31
Solyc12g008520	SlSUN32	SlIQD32
Solyc12g014130	SlSUN33	SlIQD33
