simp.id	name
Solyc03g005710	SlTPR1
Solyc01g097190	SlTPR2
Solyc01g097210	SlTPR3
Solyc03g007670	SlTPR4
Solyc03g095230	SlTPR5
Solyc04g016410	SlTPR6
Solyc04g055000	SlTPR7
Solyc04g073940	SlTPR8
Solyc04g078170	SlTPR9
Solyc07g055860	SlTPR10
Solyc07g062580	SlTPR11
Solyc08g079170	SlTPR12
Solyc09g064390	SlTPR13
Solyc09g082540	SlTPR14
Solyc10g007230	SlTPR15
Solyc10g007240	SlTPR16
Solyc10g045540	SlTPR17
Solyc11g065260	SlTPR18
Solyc02g036360	SlTPR19
Solyc03g118690	SlTPR20
Solyc04g055110	SlTPR21
Solyc06g036410	SlTPR22
Solyc06g065910	SlTPR23
Solyc10g047300	SlTPR24
Solyc06g076850	SlTPR25
Solyc09g064380	SlTPR26
