simp.id	name
Solyc04g015970	SlABCA1
Solyc03g113040	SlABCA2
Solyc03g113060	SlABCA3
Solyc06g070920	SlABCA4
Solyc06g070940	SlABCA5
Solyc06g070950	SlABCA6
Solyc06g070960	SlABCA7
Solyc03g113080	SlABCA8
Solyc03g113070	SlABCA9
Solyc02g071340	SlABCB1
Solyc02g071350	SlABCB2
Solyc02g087410	SlABCB3
Solyc02g087870	SlABCB4
Solyc03g005860	SlABCB5
Solyc03g093650	SlABCB6
Solyc04g010310	SlABCB7
Solyc06g009280	SlABCB8
Solyc06g009290	SlABCB9
Solyc06g072960	SlABCB10
Solyc07g018130	SlABCB11
Solyc07g064120	SlABCB12
Solyc08g076720	SlABCB13
Solyc09g008240	SlABCB14
Solyc11g067310	SlABCB15
Solyc12g098840	SlABCB16
Solyc12g098870	SlABCB17
Solyc11g067300	SlABCB18
Solyc05g013890	SlABCB19 
Solyc03g026310	SlABCB20
Solyc03g114950	SlABCB21
Solyc03g122050	SlABCB22
Solyc03g122070	SlABCB23
Solyc09g009910	SlABCB24
Solyc09g055350	SlABCB25
Solyc00g304030	SlABCB26/SlABCI1
Solyc12g049120	SlABCB27 
Solyc12g049130	SlABCB28 
Solyc12g070280	SlABCB29 
Solyc01g080640	SlABCC1
Solyc03g007530	SlABCC2
Solyc03g117540	SlABCC3
Solyc06g036490	SlABCC4
Solyc07g065320	SlABCC5
Solyc08g006880	SlABCC6
Solyc08g081890	SlABCC7
Solyc09g064440	SlABCC8
Solyc09g075020	SlABCC9
Solyc10g019270	SlABCC10
Solyc10g024420	SlABCC11
Solyc12g044820	SlABCC12
Solyc05g014380	SlABCC13 
Solyc00g283010	SlABCC14
Solyc11g065710	SlABCC15
Solyc11g065720	SlABCC16
Solyc12g036150	SlABCC17
Solyc12g036140	SlABCC18
Solyc02g044000	SlABCC19 
Solyc02g044050	SlABCC20 
Solyc05g014390	SlABCC21 
Solyc05g014500	SlABCC22 
Solyc06g036480	SlABCC23 
Solyc10g019280	SlABCC24 
Solyc12g036160	SlABCC25 
Solyc12g044810	SlABCC26 
Solyc04g055120	SlABCD1
Solyc12g017420	SlABCD2
Solyc07g008340	SlABCE1
Solyc08g075360	SlABCE2
Solyc04g051800	SlABCF1
Solyc06g074940	SlABCF2
Solyc07g008610	SlABCF3
Solyc08g082850	SlABCF4
Solyc10g012190	SlABCF5
Solyc11g069090	SlABCF6
Solyc01g006720	SlABCG1
Solyc01g097430	SlABCG2
Solyc01g105450	SlABCG3
Solyc03g007690	SlABCG4
Solyc03g019760	SlABCG5
Solyc03g113690	SlABCG6
Solyc04g006960	SlABCG7
Solyc04g010200	SlABCG8
Solyc04g010210	SlABCG9
Solyc04g070970	SlABCG10
Solyc05g008350	SlABCG11
Solyc05g051530	SlABCG12
Solyc05g054890	SlABCG13
Solyc05g056470	SlABCG14
Solyc06g072090	SlABCG15
Solyc06g072100	SlABCG16
Solyc06g074970	SlABCG17
Solyc07g053300	SlABCG18
Solyc07g062630	SlABCG19
Solyc07g063400	SlABCG20
Solyc08g005580	SlABCG21
Solyc08g075430	SlABCG22
Solyc09g005970	SlABCG23
Solyc09g098410	SlABCG24
Solyc11g009100	SlABCG25
Solyc11g065350	SlABCG26
Solyc11g065360	SlABCG27
Solyc11g069710	SlABCG28
Solyc12g013630	SlABCG29
Solyc12g013640	SlABCG30
Solyc12g019620	SlABCG31
Solyc12g019640	SlABCG32
Solyc01g101070	SlABCG33
Solyc02g081870	SlABCG34
Solyc03g120980	SlABCG35
Solyc05g018510	SlABCG36
Solyc05g053570	SlABCG37
Solyc05g053590	SlABCG38
Solyc05g053600	SlABCG39
Solyc05g053610	SlABCG40
Solyc05g055330	SlABCG41
Solyc06g065670	SlABCG42
Solyc06g076930	SlABCG43
Solyc08g067610	SlABCG44
Solyc08g067620	SlABCG45
Solyc09g091660	SlABCG46
Solyc09g091670	SlABCG47
Solyc11g007280	SlABCG48
Solyc11g007290	SlABCG49
Solyc11g007300	SlABCG50
Solyc11g067000	SlABCG51
Solyc12g098210	SlABCG52
Solyc12g100180	SlABCG53
Solyc12g100190	SlABCG54 
Solyc00g233480	SlABCG55 
Solyc01g105400	SlABCG56 
Solyc04g025170	SlABCG57 
Solyc05g051540	SlABCG58 
Solyc06g036240	SlABCG59 
Solyc06g075020	SlABCG60 
Solyc07g065770	SlABCG61 
Solyc09g008000	SlABCG62 
Solyc11g018690	SlABCG63 
Solyc11g069820	SlABCG64 
Solyc07g065780	SlABCG65 
Solyc11g018680	SlABCG66 
Solyc00g164680	SlABCG67
Solyc02g055530	SlABCG68
Solyc04g076170	SlABCG69
Solyc09g042280	SlABCG70
Solyc01g100850	SlABCI2
Solyc02g068180	SlABCI3
Solyc03g117810	SlABCI4
Solyc04g056650	SlABCI5
Solyc06g048540	SlABCI6
Solyc06g068600	SlABCI7
Solyc09g066470	SlABCI8
Solyc11g069260	SlABCI9
Solyc12g010220	SlABCI10
