simp.id	name
Solyc08g008050	SlPIP1;1
Solyc01g094690	SlPIP1;2
Solyc12g056220	SlPIP1;3
Solyc08g081190	SlPIP1;5
Solyc03g096290	SlPIP1;7
Solyc09g007770	SlPIP2;1
Solyc06g011350	SlPIP2;4
Solyc10g084120	SlPIP2;5
Solyc11g069430	SlPIP2;6
Solyc01g111660	SlPIP2;8
Solyc10g055630	SlPIP2;9
Solyc09g007760	SlPIP2;10
Solyc02g083510	SlPIP2;11
Solyc05g055990	SlPIP2;12
Solyc06g074820	SlTIP1;1
Solyc06g075650	SlTIP1;2
Solyc10g083880	SlTIP1;3
Solyc12g044330	SlTIP2;1
Solyc03g120470	SlTIP2;2
Solyc06g060760	SlTIP2;3
Solyc06g066560	SlTIP2;5
Solyc06g072130	SlTIP3;1
Solyc03g019820	SlTIP3;2
Solyc08g066840	SlTIP4;1
Solyc03g093230	SlTIP5;1
Solyc03g005980	SlNIP1;1
Solyc02g071920	SlNIP1;2
Solyc03g013340	SlNIP2;1
Solyc02g071910	SlNIP2;2
Solyc06g073590	SlNIP3;1
Solyc12g057050	SlNIP3;2
Solyc02g091420	SlNIP4;1
Solyc05g008080	SlNIP4;2
Solyc02g063310	SlNIP4;3
Solyc08g013730	SlNIP5;1
Solyc03g117050	SlNIP6;1
Solyc01g079890	SlNIP7;1
Solyc12g019690	SlSIP1;1
Solyc10g078490	SlSIP1;2
Solyc10g078500	SlSIP1;3
Solyc01g056720	SlSIP2;1
Solyc10g054840	SlXIP1;1
Solyc10g054820	SlXIP1;2
Solyc10g054810	SlXIP1;3
Solyc10g054800	SlXIP1;4
Solyc10g054790	SlXIP1;5
Solyc01g111010	SlXIP1;6
