simp.id	name
Solyc01g008850	SlCIPK1
Solyc02g021440	SlCIPK2
Solyc02g072530	SlCIPK3
Solyc02g072540	SlCIPK4
Solyc03g005330	SlCIPK5
Solyc03g006110	SlCIPK6
Solyc04g076810	SlCIPK7
Solyc05g047600	SlCIPK8
Solyc05g052270	SlCIPK9
Solyc05g053210	SlCIPK10
Solyc05g007430	SlCIPK11
Solyc06g007440	SlCIPK12
Solyc06g068450	SlCIPK13
Solyc06g082440	SlCIPK14
Solyc07g005440	SlCIPK15
Solyc08g067310	SlCIPK16
Solyc09g018280	SlCIPK17
Solyc09g083100	SlCIPK18
Solyc11g062410	SlCIPK19
Solyc12g009570	SlCIPK20
Solyc12g010130	SlCIPK21
Solyc12g098910	SlCIPK22
Solyc06g060980	SlCBL1-1
Solyc08g007160	SlCBL1-2
Solyc08g077770	SlCBL1-3
Solyc07g065820	SlCBL3-1
Solyc12g015870	SlCBL3-2
Solyc02g032310	SlCBL3-3
Solyc06g051970	SlCBL4-1
Solyc03g083320	SlCBL4-2
Solyc08g036590	SlCBL8-1
Solyc12g055920	SlCBL8-2
Solyc08g065330	SlCBL10
