simp.id	name
Solyc01g007960	SlCRK1
Solyc01g007970	SlCRK2
Solyc01g007980	SlCRK3
Solyc01g007990	SlCRK4
Solyc02g067770	SlCRK5
Solyc02g067780	SlCRK6
Solyc02g079990	SlCRK7
Solyc02g080010	SlCRK8
Solyc02g080020	SlCRK9
Solyc02g080030	SlCRK10
Solyc02g080040	SlCRK11
Solyc02g080050	SlCRK12
Solyc02g080060	SlCRK13
Solyc02g080070	SlCRK14
Solyc02g080080	SlCRK15
Solyc02g080090	SlCRK16
Solyc02g082310	SlCRK17
Solyc02g086590	SlCRK18
Solyc03g031540	SlCRK19
Solyc03g031550	SlCRK20
Solyc03g111530	SlCRK21
Solyc03g111540	SlCRK22
Solyc03g112730	SlCRK23
Solyc03g119340	SlCRK24
Solyc04g007880	SlCRK25
Solyc05g005050	SlCRK26
Solyc05g005060	SlCRK27
Solyc05g005070	SlCRK28
Solyc05g018910	SlCRK29
Solyc05g018920	SlCRK30
Solyc05g018930	SlCRK31
Solyc11g011870	SlCRK32
Solyc11g011880	SlCRK33
Solyc12g087910	SlCRK34
Solyc12g087920	SlCRK35
