simp.id	name
Solyc01g059910	SlCrRLK1L1
Solyc01g109950	SlCrRLK1L2
Solyc02g014030	SlCrRLK1L3
Solyc02g069970	SlCrRLK1L4
Solyc02g071860	SlCrRLK1L5
Solyc02g071880	SlCrRLK1L6
Solyc02g089090	SlCrRLK1L7
Solyc02g091590	SlCrRLK1L8
Solyc03g044160	SlCrRLK1L9
Solyc03g093380	SlCrRLK1L10
Solyc03g115710	SlCrRLK1L11
Solyc03g121230	SlCrRLK1L12
Solyc05g014240	SlCrRLK1L13
Solyc05g054680	SlCrRLK1L14
Solyc05g054860	SlCrRLK1L15
Solyc06g009540	SlCrRLK1L16
Solyc06g009550	SlCrRLK1L17
Solyc07g008400	SlCrRLK1L18
Solyc09g007280	SlCrRLK1L19
Solyc09g015830	SlCrRLK1L20
Solyc09g060110	SlCrRLK1L21
Solyc10g006870	SlCrRLK1L22
Solyc10g054050	SlCrRLK1L23
Solyc11g072910	SlCrRLK1L24
