simp.id	name
Solyc01g005030	SlMAPKKK1
Solyc01g010950	SlMAPKKK2
Solyc01g059860	SlMAPKKK3
Solyc01g079750	SlMAPKKK4
Solyc01g096170	SlMAPKKK5
Solyc01g097840	SlMAPKKK6
Solyc01g097980	SlMAPKKK7
Solyc01g098980	SlMAPKKK8
Solyc01g103240	SlMAPKKK9
Solyc01g104530	SlMAPKKK10
Solyc01g111880	SlMAPKKK11
Solyc02g031860	SlMAPKKK12
Solyc02g064930	SlMAPKKK13
Solyc02g064980	SlMAPKKK14
Solyc02g065110	SlMAPKKK15
Solyc02g071740	SlMAPKKK16
Solyc02g076780	SlMAPKKK17
Solyc02g078140	SlMAPKKK18
Solyc02g087590	SlMAPKKK19
Solyc02g090430	SlMAPKKK20
Solyc02g090970	SlMAPKKK21
Solyc02g090980	SlMAPKKK22
Solyc02g090990	SlMAPKKK23
Solyc02g093410	SlMAPKKK24
Solyc03g006400	SlMAPKKK25
Solyc03g025360	SlMAPKKK26
Solyc03g112140	SlMAPKKK27
Solyc03g114310	SlMAPKKK28
Solyc03g117640	SlMAPKKK29
Solyc03g119140	SlMAPKKK30
Solyc03g121780	SlMAPKKK31
Solyc04g014690	SlMAPKKK32
Solyc04g064590	SlMAPKKK33
Solyc04g076480	SlMAPKKK34
Solyc04g079400	SlMAPKKK35
Solyc05g041420	SlMAPKKK36
Solyc06g036080	SlMAPKKK37
Solyc06g068510	SlMAPKKK38
Solyc06g068980	SlMAPKKK39
Solyc06g071410	SlMAPKKK40
Solyc06g071800	SlMAPKKK41
Solyc06g082470	SlMAPKKK42
Solyc07g006760	SlMAPKKK43
Solyc07g007140	SlMAPKKK44
Solyc07g008400	SlMAPKKK45
Solyc07g042680	SlMAPKKK46
Solyc07g042890	SlMAPKKK47
Solyc07g047910	SlMAPKKK48
Solyc07g047990	SlMAPKKK49
Solyc07g051860	SlMAPKKK50
Solyc07g051870	SlMAPKKK51
Solyc07g051880	SlMAPKKK52
Solyc07g051890	SlMAPKKK53
Solyc07g051920	SlMAPKKK54
Solyc07g051930	SlMAPKKK55
Solyc07g053170	SlMAPKKK56
Solyc07g055130	SlMAPKKK57
Solyc07g055870	SlMAPKKK58
Solyc07g064820	SlMAPKKK59
Solyc07g065250	SlMAPKKK60
Solyc08g007910	SlMAPKKK61
Solyc08g062140	SlMAPKKK62
Solyc08g069090	SlMAPKKK63
Solyc08g076490	SlMAPKKK64
Solyc08g080460	SlMAPKKK65
Solyc08g081210	SlMAPKKK66
Solyc08g082980	SlMAPKKK67
Solyc09g009090	SlMAPKKK68
Solyc09g018060	SlMAPKKK69
Solyc09g018170	SlMAPKKK70
Solyc09g076000	SlMAPKKK71
Solyc10g009060	SlMAPKKK72
Solyc10g009350	SlMAPKKK73
Solyc10g017490	SlMAPKKK74
Solyc10g055720	SlMAPKKK75
Solyc10g079130	SlMAPKKK76
Solyc10g083610	SlMAPKKK77
Solyc10g085570	SlMAPKKK78
Solyc10g085670	SlMAPKKK79
Solyc11g006000	SlMAPKKK80
Solyc11g012050	SlMAPKKK81
Solyc11g033270	SlMAPKKK82
Solyc12g005360	SlMAPKKK83
Solyc12g009340	SlMAPKKK84
Solyc12g013980	SlMAPKKK85
Solyc12g062280	SlMAPKKK86
Solyc12g088940	SlMAPKKK87
Solyc12g094410	SlMAPKKK88
Solyc12g099250	SlMAPKKK89
