simp.id	name
Solyc07g066260	SlPic1/SlPP2C62
Solyc01g105020	SlPic2/SlPP2C12
Solyc01g105280	SlPic3/SlPP2C13
Solyc02g092750	SlPic5/SlPP2C.D/SlPP2C18
Solyc05g052520	SlPic6/SlPP2C38
Solyc03g096670	SlPic7/SlPP2C1/SlPP2C27
Solyc05g052980	SlPic7/SlPP2C2/SlPP2C39
Solyc07g007220	SlPic10/SlPP2C54
Solyc12g010450	SlPic10/SlPP2C91
Solyc09g010780	SlPic11/SlPP2C74
Solyc10g047290	SlPic12/SlPP2C79
Solyc12g042570	SlPic13/SlPP2C93
Solyc06g082080	SlPic14/SlPP2C51
Solyc06g076400 	SlPP2C3/SlPP2C50
Solyc07g040990 	SlPP2C4/SlPP2C56
Solyc03g121880 	SlPP2C5/SlPP2C29
Solyc12g096020 	SlPP2C6/SlPP2C95
Solyc08g062650 	SlPP2C7/SlPP2C65
Solyc03g007230 	SlPP2C8/SlPP2C23
Solyc06g051940 	SlPP2C9/SlPP2C46
Solyc08g082260 	SlPP2C10/SlPP2C72
Solyc03g006930 	SlPP2C11/SlPP2C19
Solyc03g006940 	SlPP2C12/SlPP2C20
Solyc03g006950 	SlPP2C13/SlPP2C21
Solyc03g006960  	SlPP2C14/SlPP2C22
Solyc00g007190	SlPP2C1
Solyc01g056690	SlPP2C2
Solyc01g065700	SlPP2C3
Solyc01g066870	SlPP2C4
Solyc01g068000	SlPP2C5
Solyc01g079720	SlPP2C6
Solyc01g080400	SlPP2C7
Solyc01g081000	SlPP2C8
Solyc01g087460	SlPP2C9
Solyc01g100040	SlPP2C10
Solyc01g100110	SlPP2C11
Solyc01g107300	SlPP2C.D/SlPP2C14
Solyc01g111730	SlPP2C.D/SlPP2C15
Solyc02g082490	SlPP2C16
Solyc02g083420	SlPP2C.D2/SlPP2C17
Solyc03g007270	SlPP2C24
Solyc03g033340	SlPP2C.D3/SlPP2C25
Solyc03g082960	SlPP2C26
Solyc03g118890	SlPP2C28
Solyc04g056560	SlPP2C30
Solyc04g064500	SlPP2C31
Solyc04g074190	SlPP2C32
Solyc04g079120	SlPP2C33
Solyc04g080090	SlPP2C34
Solyc04g082600	SlPP2C35
Solyc05g009070	SlPP2C36
Solyc05g018300	SlPP2C37
Solyc05g053290	SlPP2C40
Solyc05g055790	SlPP2C41
Solyc05g055980	SlPP2C.D4/SlPP2C42
Solyc06g007190	SlPP2C43
Solyc06g007350	SlPP2C44
Solyc06g009390	SlPP2C45
Solyc06g065610	SlPP2C47
Solyc06g065920	SlPP2C.D5/SlPP2C48
Solyc06g076100	SlPLL2/SlPP2C48
Solyc06g082700	SlPP2C52
Solyc06g084100	SlPP2C53
Solyc07g024020	SlPP2C55
Solyc07g053760	SlPP2C57
Solyc07g054300	SlPP2C58
Solyc07g062970	SlPP2C59
Solyc07g064310	SlPP2C60
Solyc07g064390	SlPP2C61
Solyc08g006060	SlPP2C63
Solyc08g007000	SlPLL1b/SlPP2C64
Solyc08g065500	SlPP2C66
Solyc08g065540	SlPP2C67
Solyc08g065670	SlPP2C68
Solyc08g065680	SlPP2C69
Solyc08g074230	SlPP2C70
Solyc08g077150	SlPLL1a/SlPP2C71
Solyc09g007080	SlPP2C.D/SlPP2C73
Solyc09g065650	SlPP2C75
Solyc09g090280	SlPP2C76
Solyc10g005640	SlPP2C77
Solyc10g008490	SlPP2C78
Solyc10g049630	SlPP2C.D/SlPP2C80
Solyc10g055650	SlPP2C.D/SlPP2C81
Solyc10g076320	SlPP2C82
Solyc10g078800	SlPP2C.D/SlPP2C83
Solyc10g078810	SlPP2C.D/SlPP2C84
Solyc10g078820	SlPP2C.D/SlPP2C85
Solyc10g079180	SlPP2C86
Solyc10g084410	SlPP2C.D/SlPP2C87
Solyc10g085370	SlPP2C88
Solyc10g086490	SlPP2C89
Solyc12g005190	SlPP2C90
Solyc12g026410	SlPP2C92
Solyc12g089090	SlPP2C94
Solyc12g096520	SlPP2C96
Solyc12g099600	SlPP2C97
Solyc01g067980	SlPP2C
Solyc01g094230	SlPP2C
Solyc03g013100	SlPP2C
Solyc03g013140	SlPP2C
Solyc03g065190	SlPLL3
Solyc07g024010	SlPP2C
Solyc08g044610	SlPP2C
Solyc08g062640	SlPP2C
