simp.id	name
Solyc01g058540	SlWRKY47
Solyc01g079260	SlWRKY23
Solyc01g079360	SlWRKY37
Solyc01g089960	SlWRKY12
Solyc01g095100	SlWRKY22
Solyc01g095630	SlWRKY41
Solyc01g104550	SlWRKY9
Solyc02g021680	SlWRKY35
Solyc02g032950	SlWRKY16
Solyc02g067430	SlWRKY72
Solyc02g071130	SlWRKY71
Solyc02g072190	SlWRKY79
Solyc02g080890	SlWRKY6
Solyc02g088340	SlWRKY3
Solyc02g093050	SlWRKY8
Solyc02g094270	SlWRKY38
Solyc03g007380	SlWRKY52
Solyc03g007640	SlWRKY68
Solyc03g082750	SlWRKY27
Solyc03g082810	SlWRKY26
Solyc03g095770	SlWRKY80
Solyc03g104810	SlWRKY5
Solyc03g113120	SlWRKY73
Solyc03g116890	SlWRKY39
Solyc04g050210	SlWRKY69
Solyc04g051540	SlWRKY13
Solyc04g051690	SlWRKY51
Solyc04g056360	SlWRKY36
Solyc04g072070	SlWRKY55
Solyc04g078550	SlWRKY7
Solyc05g007110	SlWRKY76
Solyc05g012500	SlWRKY57
Solyc05g012770	SlWRKY4
Solyc05g014040	SlWRKY70
Solyc05g015850	SlWRKY75
Solyc05g045710	SlWRKY65
Solyc05g045800	SlWRKY67
Solyc05g045880	SlWRKY66
Solyc05g050040	SlWRKY62
Solyc05g050050	SlWRKY63
Solyc05g050060	SlWRKY64
Solyc05g050300	SlWRKY60
Solyc05g050330	SlWRKY59
Solyc05g050340	SlWRKY58
Solyc05g053380	SlWRKY48
Solyc05g055750	SlWRKY34
Solyc06g008610	SlWRKY21
Solyc06g048870	SlWRKY19
Solyc06g066370	SlWRKY33b
Solyc06g068460	SlWRKY40
Solyc06g070990	SlWRKY74
Solyc07g005650	SlWRKY32
Solyc07g047960	SlWRKY1
Solyc07g051840	SlWRKY17
Solyc07g055280	SlWRKY78
Solyc07g056280	SlWRKY30
Solyc07g065260	SlWRKY18
Solyc07g066220	SlWRKY2
Solyc08g006320	SlWRKY11
Solyc08g008280	SlWRKY53
Solyc08g062490	SlWRKY50
Solyc08g067340	SlWRKY46
Solyc08g067360	SlWRKY45
Solyc08g081610	SlWRKY29
Solyc08g081630	SlWRKY56
Solyc08g082110	SlWRKY54
Solyc09g010960	SlWRKY49
Solyc09g014990	SlWRKY33a
Solyc09g015770	SlWRKY81
Solyc09g066010	SlWRKY24
Solyc10g005680	SlWRKY15
Solyc10g007970	SlWRKY77
Solyc10g009550	SlWRKY42
Solyc10g011910	SlWRKY25
Solyc10g084380	SlWRKY44
Solyc12g006170	SlWRKY14
Solyc12g011200	SlWRKY28
Solyc12g014610	SlWRKY20
Solyc12g042590	SlWRKY43
Solyc12g056750	SlWRKY61
Solyc12g096350	SlWRKY10
