simp.id	name
Solyc00g050430	SlbHLH073
Solyc01g010130	SlbHLH001
Solyc01g014910	SlbHLH
Solyc01g014960	SlbHLH
Solyc01g020170	SlbHLH074
Solyc01g057300	SlbHLH002
Solyc01g067340	SlbHLH075
Solyc01g080050	SlbHLH
Solyc01g081090	SlbHLH003
Solyc01g081100	SlbHLH004
Solyc01g086870	SlbHLH076
Solyc01g090790	SlbHLH005
Solyc01g096050	SlbHLH
Solyc01g096370	SlbHLH
Solyc01g098720	SlbHLH
Solyc01g102300	SlbHLH006
Solyc01g106460	SlbHLH007
Solyc01g107140	SlbHLH
Solyc01g107950	SlbHLH008
Solyc01g107960	SlbHLH009
Solyc01g107970	SlbHLH077
Solyc01g109700	SlbHLH010
Solyc01g111130	SlbHLH011
Solyc02g062690	SlbHLH012
Solyc02g063430	SlbHLH078
Solyc02g067380	SlbHLH
Solyc02g070880	SlbHLH
Solyc02g076920	SlbHLH013
Solyc02g078130	SlbHLH079
Solyc02g079760	SlbHLH
Solyc02g079810	SlbHLH080
Solyc02g079970	SlbHLH014
Solyc02g084880	SlbHLH
Solyc02g087860	SlbHLH
Solyc02g090950	SlbHLH
Solyc02g091440	SlbHLH
Solyc02g091690	SlbHLH081
Solyc02g091800	SlbHLH
Solyc02g091810	SlbHLH015
Solyc02g091820	SlbHLH016
Solyc02g093280	SlbHLH017
Solyc03g005350	SlbHLH018
Solyc03g006910	SlbHLH019
Solyc03g007410	SlbHLH
Solyc03g031450	SlbHLH
Solyc03g034000	SlbHLH020
Solyc03g044460	SlbHLH
Solyc03g095980	SlbHLH021
Solyc03g097820	SlbHLH022
Solyc03g113560	SlbHLH
Solyc03g114230	SlbHLH082
Solyc03g114720	SlbHLH023
Solyc03g115540	SlbHLH024
Solyc03g118310	SlbHLH083
Solyc03g119390	SlbHLH026
Solyc03g120530	SlbHLH
Solyc03g121240	SlbHLH
Solyc04g005130	SlbHLH027
Solyc04g005220	SlbHLH
Solyc04g005280	SlbHLH028
Solyc04g005660	SlbHLH
Solyc04g006990	SlbHLH029
Solyc04g007300	SlbHLH030
Solyc04g007430	SlbHLH031
Solyc04g014360	SlbHLH032
Solyc04g074810	SlbHLH
Solyc04g076240	SlbHLH033
Solyc04g077480	SlbHLH034
Solyc04g077960	SlbHLH
Solyc04g078690	SlbHLH035
Solyc04g078790	SlbHLH
Solyc04g080710	SlbHLH
Solyc05g005300	SlbHLH084
Solyc05g006650	SlbHLH036
Solyc05g007210	SlbHLH
Solyc05g009220	SlbHLH
Solyc05g009640	SlbHLH037
Solyc05g009880	SlbHLH038
Solyc05g010610	SlbHLH039
Solyc05g011810	SlbHLH040
Solyc05g014590	SlbHLH
Solyc05g050560	SlbHLH
Solyc05g053660	SlbHLH
Solyc06g008030	SlbHLH041
Solyc06g035490	SlbHLH042
Solyc06g050840	SlbHLH135
Solyc06g051260	SlbHLH043
Solyc06g051550	SlbHLH
Solyc06g062460	SlbHLH136
Solyc06g064580	SlbHLH044
Solyc06g064590	SlbHLH045
Solyc06g065040	SlbHLH086
Solyc06g068870	SlbHLH087
Solyc06g069370	SlbHLH046
Solyc06g069600	SlbHLH047
Solyc06g070910	SlbHLH
Solyc06g072520	SlbHLH048
Solyc06g083170	SlbHLH049
Solyc06g083980	SlbHLH138
Solyc07g005400	SlbHLH050
Solyc07g018010	SlbHLH139
Solyc07g039570	SlbHLH051
Solyc07g043580	SlbHLH052
Solyc07g052670	SlbHLH053
Solyc07g052930	SlbHLH141
Solyc07g053290	SlbHLH054
Solyc07g062200	SlbHLH088
Solyc07g063830	SlbHLH142
Solyc07g064040	SlbHLH143
Solyc08g005050	SlbHLH
Solyc08g008600	SlbHLH055
Solyc08g062780	SlbHLH089
Solyc08g075090	SlbHLH144
Solyc08g075110	SlbHLH145
Solyc08g076820	SlbHLH146
Solyc08g076930	SlbHLH
Solyc08g081140	SlbHLH090
Solyc08g083170	SlbHLH056
Solyc09g005070	SlbHLH148
Solyc09g018130	SlbHLH091
Solyc09g018150	SlbHLH149
Solyc09g057710	SlbHLH057
Solyc09g063010	SlbHLH058
Solyc09g064920	SlbHLH
Solyc09g065100	SlbHLH150
Solyc09g065820	SlbHLH059
Solyc09g074810	SlbHLH
Solyc09g083220	SlbHLH060
Solyc09g083360	SlbHLH
Solyc09g089870	SlbHLH061
Solyc09g091760	SlbHLH151
Solyc09g097870	SlbHLH062
Solyc09g098110	SlbHLH092
Solyc10g006510	SlbHLH152
Solyc10g006640	SlbHLH153
Solyc10g008250	SlbHLH
Solyc10g008260	SlbHLH093
Solyc10g008270	SlbHLH094
Solyc10g009270	SlbHLH154
Solyc10g009290	SlbHLH155
Solyc10g018510	SlbHLH063
Solyc10g049720	SlbHLH156
Solyc10g049780	SlbHLH157
Solyc10g078380	SlbHLH064
Solyc10g079050	SlbHLH095
Solyc10g079070	SlbHLH065
Solyc10g079650	SlbHLH066
Solyc10g079660	SlbHLH067
Solyc10g079680	SlbHLH068
Solyc11g005780	SlbHLH158
Solyc11g010340	SlbHLH069
Solyc11g056650	SlbHLH096
Solyc12g010170	SlbHLH070
Solyc12g036430	SlbHLH
Solyc12g036470	SlbHLH
Solyc12g042010	SlbHLH
Solyc12g087850	SlbHLH
Solyc12g088130	SlbHLH
Solyc12g088790	SlbHLH159
Solyc12g098620	SlbHLH072
Solyc12g100140	SlbHLH
Solyc07g020960	SlbHLH
