simp.id	name
Solyc01g010030	SlRLK-1
Solyc02g079533	SlRLK-10
Solyc02g079540	SlRLK-11
Solyc02g079550	SlRLK-12
Solyc02g085430	SlRLK-13
Solyc02g087460	SlRLK-14
Solyc02g091840	SlRLK-16
Solyc02g093100	SlRLK-17
Solyc03g006890	SlRLK-18
Solyc00g110870	SlRLK-19
Solyc01g067020	SlRLK-2
Solyc03g059490	SlRLK-20
Solyc03g095490	SlRLK-21
Solyc03g019830	SlRLK-22
Solyc03g111670	SlRLK-23
Solyc03g113450	SlRLK-24
Solyc03g114080	SlRLK-25
Solyc03g115610	SlRLK-26
Solyc03g118510	SlRLK-27
Solyc03g121610	SlRLK-28
Solyc03g122230	SlRLK-29
Solyc01g079340	SlRLK-3
Solyc03g123740	SlRLK-30
Solyc03g124050	SlRLK-31
Solyc04g008650	SlRLK-32
Solyc04g051510	SlRLK-33
Solyc04g008385	SlRLK-34
Solyc04g064940	SlRLK-35
Solyc04g077280	SlRLK-36
Solyc04g078590	SlRLK-37
Solyc04g078700	SlRLK-38
Solyc04g079690	SlRLK-39
Solyc01g094940	SlRLK-4
Solyc05g008310	SlRLK-40
Solyc05g008860	SlRLK-41
Solyc05g009100	SlRLK-42
Solyc05g010140	SlRLK-43
Solyc05g015150	SlRLK-44
Solyc05g025780	SlRLK-45
Solyc05g047570	SlRLK-46
Solyc06g048620	SlRLK-47
Solyc06g048950	SlRLK-48
Solyc06g050560	SlRLK-49
Solyc01g101100	SlRLK-5
Solyc06g068910	SlRLK-50
Solyc06g082920	SlRLK-51
Solyc06g083500	SlRLK-52
Solyc07g006610	SlRLK-53
Solyc07g017230	SlRLK-54
Solyc07g039340	SlRLK-55
Solyc07g055170	SlRLK-56
Solyc07g055670	SlRLK-56
Solyc07g055690	SlRLK-57
Solyc07g055810	SlRLK-58
Solyc07g056270	SlRLK-59
Solyc01g105080	SlRLK-6
Solyc07g056410	SlRLK-60
Solyc07g062040	SlRLK-61
Solyc07g065240	SlRLK-62
Solyc07g065610	SlRLK-63
Solyc07g066230	SlRLK-64
Solyc08g068250	SlRLK-65
Solyc08g069170	SlRLK-66
Solyc08g074760	SlRLK-67
Solyc08g081940	SlRLK-68
Solyc08g082460	SlRLK-69
Solyc02g023950	SlRLK-7
Solyc09g007510	SlRLK-70
Solyc09g008860	SlRLK-71
Solyc09g015170	SlRLK-72
Solyc09g030450	SlRLK-73
Solyc09g091260	SlRLK-74
Solyc10g047810	SlRLK-75
Solyc10g080510	SlRLK-76
Solyc10g084250	SlRLK-77
Solyc10g085990	SlRLK-78
Solyc11g011020	SlRLK-79
Solyc02g067560	SlRLK-8
Solyc11g011870	SlRLK-8
Solyc11g011880	SlRLK-80
Solyc11g069960	SlRLK-81
Solyc11g071880	SlRLK-82
Solyc12g009190	SlRLK-83
Solyc12g088750	SlRLK-84
Solyc12g098100	SlRLK-85
Solyc12g098960	SlRLK-86
Solyc02g070000	SlRLK-9
Solyc01g005020	SlSOS-1
Solyc04g018100	SlSOS-2
Solyc04g056600	SlSOS-3
Solyc06g008820	SlSOS-4
Solyc10g006080	SlSOS-5
Solyc02g021410	SlCHX-1
Solyc06g060630	SlCHX-10
Solyc06g082230	SlCHX-11
Solyc07g026670	SlCHX-12
Solyc08g008190	SlCHX-13
Solyc08g008200	SlCHX-14
Solyc08g016160	SlCHX-15
Solyc08g078880	SlCHX-16
Solyc08g081820	SlCHX-17
Solyc09g010530	SlCHX-18
Solyc11g044255	SlCHX-19
Solyc11g044260	SlCHX-19
Solyc02g071070	SlCHX-2
Solyc12g036260	SlCHX-20
Solyc12g056160	SlCHX-21
Solyc03g007040	SlCHX-3
Solyc03g032240	SlCHX-4
Solyc04g015990	SlCHX-5
Solyc05g026380	SlCHX-6
Solyc05g052320	SlCHX-7
Solyc06g009240	SlCHX-8
Solyc06g050690	SlCHX-9
