TF_ID	Gene_ID	Family
Solyc04g007000	Solyc04g007000.1	RAV
Solyc05g009790	Solyc05g009790.1	RAV
Solyc03g083110	Solyc03g083110.1	RAV
Solyc00g012700	Solyc00g012700.1	FAR1
Solyc00g024680	Solyc00g024680.1	Dof
Solyc00g050430	Solyc00g050430.2	bHLH
Solyc00g084870	Solyc00g084870.2	TCP
Solyc00g107050	Solyc00g107050.1	NF-YC
Solyc00g117450	Solyc00g117450.2	SRS
Solyc00g154980	Solyc00g154980.1	EIL
Solyc00g217560	Solyc00g217560.1	TCP
Solyc00g255510	Solyc00g255510.1	NAC
Solyc00g270510	Solyc00g270510.1	NF-YB
Solyc01g006650	Solyc01g006650.1	EIL
Solyc01g006930	Solyc01g006930.2	NF-YA
Solyc01g007760	Solyc01g007760.2	E2F/DP
Solyc01g008230	Solyc01g008230.2	TCP
Solyc01g008490	Solyc01g008490.2	NF-YA
Solyc01g008730	Solyc01g008730.2	bZIP
Solyc01g008910	Solyc01g008910.2	GRAS
Solyc01g008980	Solyc01g008980.2	bZIP
Solyc01g009170	Solyc01g009170.2	EIL
Solyc01g009510	Solyc01g009510.1	bZIP
Solyc01g009840	Solyc01g009840.1	GRAS
Solyc01g009860	Solyc01g009860.2	NAC
Solyc01g010130	Solyc01g010130.2	bHLH
Solyc01g010240	Solyc01g010240.2	YABBY
Solyc01g014480	Solyc01g014480.2	EIL
Solyc01g014910	Solyc01g014910.1	bHLH
Solyc01g014960	Solyc01g014960.1	bHLH
Solyc01g014970	Solyc01g014970.1	ZF-HD
Solyc01g020170	Solyc01g020170.1	bHLH
Solyc01g021730	Solyc01g021730.2	NAC
Solyc01g044520	Solyc01g044520.1	LBD
Solyc01g057270	Solyc01g057270.2	CAMTA
Solyc01g057300	Solyc01g057300.1	bHLH
Solyc01g058540	Solyc01g058540.2	WRKY
Solyc01g059950	Solyc01g059950.1	GRAS
Solyc01g059960	Solyc01g059960.1	GRAS
Solyc01g060170	Solyc01g060170.2	CAMTA
Solyc01g060490	Solyc01g060490.2	GATA
Solyc01g065890	Solyc01g065890.1	Trihelix
Solyc01g065900	Solyc01g065900.1	Trihelix
Solyc01g067130	Solyc01g067130.2	NF-YB
Solyc01g067340	Solyc01g067340.1	bHLH
Solyc01g068100	Solyc01g068100.2	SBP
Solyc01g079260	Solyc01g079260.2	WRKY
Solyc01g079360	Solyc01g079360.2	WRKY
Solyc01g079370	Solyc01g079370.2	GRAS
Solyc01g079380	Solyc01g079380.1	GRAS
Solyc01g079480	Solyc01g079480.2	bZIP
Solyc01g079870	Solyc01g079870.2	NF-YC
Solyc01g080050	Solyc01g080050.2	bHLH
Solyc01g080670	Solyc01g080670.2	SBP
Solyc01g081090	Solyc01g081090.1	bHLH
Solyc01g081100	Solyc01g081100.1	bHLH
Solyc01g086870	Solyc01g086870.2	bHLH
Solyc01g087240	Solyc01g087240.2	NF-YA
Solyc01g088820	Solyc01g088820.2	Trihelix
Solyc01g089960	Solyc01g089960.2	WRKY
Solyc01g090730	Solyc01g090730.2	SBP
Solyc01g090760	Solyc01g090760.2	GATA
Solyc01g090790	Solyc01g090790.2	bHLH
Solyc01g090950	Solyc01g090950.2	GRAS
Solyc01g091010	Solyc01g091010.2	YABBY
Solyc01g091400	Solyc01g091400.2	LBD
Solyc01g091420	Solyc01g091420.1	LBD
Solyc01g094490	Solyc01g094490.2	NAC
Solyc01g094580	Solyc01g094580.2	BES1
Solyc01g095100	Solyc01g095100.2	WRKY
Solyc01g095460	Solyc01g095460.2	bZIP
Solyc01g095630	Solyc01g095630.2	WRKY
Solyc01g096050	Solyc01g096050.2	bHLH
Solyc01g096120	Solyc01g096120.2	Dof
Solyc01g096370	Solyc01g096370.2	bHLH
Solyc01g096470	Solyc01g096470.2	Trihelix
Solyc01g096710	Solyc01g096710.2	NF-YC
Solyc01g096810	Solyc01g096810.2	EIL
Solyc01g096850	Solyc01g096850.2	FAR1
Solyc01g097330	Solyc01g097330.2	bZIP
Solyc01g097890	Solyc01g097890.2	GeBP
Solyc01g098220	Solyc01g098220.1	LBD
Solyc01g098720	Solyc01g098720.2	bHLH
Solyc01g099320	Solyc01g099320.2	NF-YB
Solyc01g100200	Solyc01g100200.2	GRAS
Solyc01g100220	Solyc01g100220.2	GATA
Solyc01g100460	Solyc01g100460.2	bZIP
Solyc01g102300	Solyc01g102300.2	bHLH
Solyc01g102740	Solyc01g102740.2	NAC
Solyc01g102980	Solyc01g102980.2	ZF-HD
Solyc01g103180	Solyc01g103180.2	FAR1
Solyc01g103780	Solyc01g103780.2	TCP
Solyc01g103810	Solyc01g103810.1	ZF-HD
Solyc01g103820	Solyc01g103820.1	ZF-HD
Solyc01g103830	Solyc01g103830.1	ZF-HD
Solyc01g103840	Solyc01g103840.1	ZF-HD
Solyc01g104550	Solyc01g104550.2	WRKY
Solyc01g104650	Solyc01g104650.2	bZIP
Solyc01g104760	Solyc01g104760.2	Trihelix
Solyc01g104900	Solyc01g104900.2	NAC
