simp.id	name	Type
Solyc01g006520	SlLecRK1	G-type
Solyc01g006530	SlLecRK2	G-type
Solyc01g094830	SlLecRK3	G-type
Solyc01g106160	SlLecRK4	L-type
Solyc02g030300	SlLecRK5	G-type
Solyc02g068300	SlLecRK6	L-type
Solyc02g068370	SlLecRK7	C-type
Solyc02g072070	SlLecRK8	G-type
Solyc02g078170	SlLecRK9	L-type
Solyc02g079530	SlLecRK10	G-type
Solyc02g079540	SlLecRK11	G-type
Solyc02g079550	SlLecRK12	G-type
Solyc02g079570	SlLecRK13	G-type
Solyc02g079620	SlLecRK14	G-type
Solyc02g079630	SlLecRK15	G-type
Solyc02g079640	SlLecRK16	G-type
Solyc02g079710	SlLecRK17	G-type
Solyc03g005130	SlLecRK18	G-type
Solyc03g006720	SlLecRK19	G-type
Solyc03g006730	SlLecRK20	G-type
Solyc03g006780	SlLecRK21	G-type
Solyc03g007790	SlLecRK22	G-type
Solyc03g031980	SlLecRK23	L-type
Solyc03g043710	SlLecRK24	L-type
Solyc03g063650	SlLecRK25	G-type
Solyc03g078360	SlLecRK26	G-type
Solyc03g078370	SlLecRK27	G-type
Solyc03g080060	SlLecRK28	L-type
Solyc03g112310	SlLecRK29	L-type
Solyc03g120110	SlLecRK30	G-type
Solyc04g008370	SlLecRK31	G-type
Solyc04g008400	SlLecRK32	G-type
Solyc04g015460	SlLecRK33	G-type
Solyc04g058110	SlLecRK34	G-type
Solyc04g071000	SlLecRK35	L-type
Solyc04g077270	SlLecRK36	G-type
Solyc04g077280	SlLecRK37	G-type
Solyc04g077300	SlLecRK38	G-type
Solyc04g077310	SlLecRK39	G-type
Solyc04g077320	SlLecRK40	G-type
Solyc04g077340	SlLecRK41	G-type
Solyc04g077360	SlLecRK42	G-type
Solyc04g077370	SlLecRK43	G-type
Solyc04g077390	SlLecRK44	G-type
Solyc05g008310	SlLecRK45	G-type
Solyc05g041980	SlLecRK46	L-type
Solyc05g053010	SlLecRK47	L-type
Solyc06g036470	SlLecRK48	G-type
Solyc07g009440	SlLecRK49	G-type
Solyc07g026800	SlLecRK50	L-type
Solyc07g053080	SlLecRK51	G-type
Solyc07g053090	SlLecRK52	G-type
Solyc07g053120	SlLecRK53	G-type
Solyc07g053130	SlLecRK54	G-type
Solyc07g053220	SlLecRK55	G-type
Solyc07g055630	SlLecRK56	G-type
Solyc07g055640	SlLecRK57	G-type
Solyc07g055650	SlLecRK58	G-type
Solyc07g063700	SlLecRK59	G-type
Solyc07g063710	SlLecRK60	G-type
Solyc07g063720	SlLecRK61	G-type
Solyc07g063730	SlLecRK62	G-type
Solyc07g063750	SlLecRK63	G-type
Solyc07g063770	SlLecRK64	G-type
Solyc07g063780	SlLecRK65	G-type
Solyc07g063800	SlLecRK66	G-type
Solyc07g063810	SlLecRK67	G-type
Solyc07g063820	SlLecRK68	G-type
Solyc07g065610	SlLecRK69	L-type
Solyc08g059730	SlLecRK70	G-type
Solyc08g076050	SlLecRK71	G-type
Solyc08g076060	SlLecRK72	G-type
Solyc09g007510	SlLecRK73	L-type
Solyc09g011060	SlLecRK74	L-type
Solyc09g011070	SlLecRK75	L-type
Solyc09g011840	SlLecRK76	L-type
Solyc09g011990	SlLecRK77	L-type
Solyc09g012000	SlLecRK78	L-type
Solyc09g075910	SlLecRK79	G-type
Solyc09g075920	SlLecRK80	G-type
Solyc10g005440	SlLecRK81	G-type
Solyc10g006690	SlLecRK82	G-type
Solyc10g006710	SlLecRK83	G-type
Solyc10g006720	SlLecRK84	G-type
Solyc10g047680	SlLecRK85	L-type
Solyc10g047810	SlLecRK86	L-type
Solyc10g080510	SlLecRK87	L-type
Solyc10g084250	SlLecRK88	L-type
Solyc10g084860	SlLecRK89	L-type
Solyc11g005630	SlLecRK90	G-type
Solyc11g013880	SlLecRK91	G-type
Solyc12g005290	SlLecRK92	G-type
Solyc12g006840	SlLecRK93	G-type
