ProteinID	Length	Start	End	Domain	Tool
Solyc01g067020	255aa	340	594	Pkinase	Pfam_Scan
Solyc01g102710	264aa	639	902	PK_Tyr_Ser-Thr	Pfam_Scan
Solyc01g104970	272aa	294	565	Pkinase	Pfam_Scan
Solyc01g108840	274aa	589	862	Pkinase	Pfam_Scan
Solyc02g070890	277aa	875	1151	Pkinase	Pfam_Scan
Solyc02g093970	257aa	485	741	PK_Tyr_Ser-Thr	Pfam_Scan
Solyc03g005130	277aa	486	762	Pkinase	Pfam_Scan
Solyc03g006030	167aa	994	1160	Pkinase	Pfam_Scan
Solyc03g006130	261aa	428	688	PK_Tyr_Ser-Thr	Pfam_Scan
Solyc03g115610	204aa	802	1005	Pkinase	Pfam_Scan
Solyc03g118510	261aa	377	637	Pkinase	Pfam_Scan
Solyc03g123740	269aa	410	678	PK_Tyr_Ser-Thr	Pfam_Scan
Solyc03g123860	272aa	820	1091	Pkinase	Pfam_Scan
Solyc05g010400	267aa	302	568	Pkinase	Pfam_Scan
Solyc06g065260	270aa	682	951	Pkinase	Pfam_Scan
Solyc07g006110	267aa	285	551	PK_Tyr_Ser-Thr	Pfam_Scan
Solyc07g055810	202aa	692	893	Pkinase	Pfam_Scan
Solyc08g074760	264aa	306	569	Pkinase	Pfam_Scan
Solyc08g076050	199aa	433	631	PK_Tyr_Ser-Thr	Pfam_Scan
Solyc08g079460	261aa	416	676	PK_Tyr_Ser-Thr	Pfam_Scan
Solyc08g079740	275aa	598	872	PK_Tyr_Ser-Thr	Pfam_Scan
Solyc08g080830	267aa	364	630	PK_Tyr_Ser-Thr	Pfam_Scan
Solyc09g008640	272aa	340	611	Pkinase	Pfam_Scan
Solyc09g030450	263aa	343	605	PK_Tyr_Ser-Thr	Pfam_Scan
Solyc09g072810	268aa	925	1192	Pkinase	Pfam_Scan
Solyc11g069960	264aa	359	622	PK_Tyr_Ser-Thr	Pfam_Scan
Solyc12g014350	267aa	666	932	PK_Tyr_Ser-Thr	Pfam_Scan
Solyc12g096710	247aa	316	562	PK_Tyr_Ser-Thr	Pfam_Scan
Solyc01g067020	N/A	N/A	N/A	SP	signalp-5.0b
Solyc01g102710	N/A	N/A	N/A	SP	signalp-5.0b
Solyc01g104970	N/A	N/A	N/A	SP	signalp-5.0b
Solyc01g108840	N/A	N/A	N/A	SP	signalp-5.0b
Solyc02g070890	N/A	N/A	N/A	SP	signalp-5.0b
Solyc02g093970	N/A	N/A	N/A	SP	signalp-5.0b
Solyc03g005130	N/A	N/A	N/A	SP	signalp-5.0b
Solyc03g006030	N/A	N/A	N/A	SP	signalp-5.0b
Solyc03g006130	N/A	N/A	N/A	SP	signalp-5.0b
Solyc03g115610	N/A	N/A	N/A	SP	signalp-5.0b
Solyc03g118510	N/A	N/A	N/A	SP	signalp-5.0b
Solyc03g123740	N/A	N/A	N/A	SP	signalp-5.0b
Solyc03g123860	N/A	N/A	N/A	SP	signalp-5.0b
Solyc05g010400	N/A	N/A	N/A	SP	signalp-5.0b
Solyc06g065260	N/A	N/A	N/A	SP	signalp-5.0b
Solyc07g006110	N/A	N/A	N/A	SP	signalp-5.0b
Solyc07g055810	N/A	N/A	N/A	SP	signalp-5.0b
Solyc08g074760	N/A	N/A	N/A	SP	signalp-5.0b
Solyc08g076050	N/A	N/A	N/A	SP	signalp-5.0b
Solyc08g079460	N/A	N/A	N/A	SP	signalp-5.0b
Solyc08g079740	N/A	N/A	N/A	SP	signalp-5.0b
Solyc08g080830	N/A	N/A	N/A	SP	signalp-5.0b
Solyc09g008640	N/A	N/A	N/A	SP	signalp-5.0b
Solyc09g030450	N/A	N/A	N/A	SP	signalp-5.0b
Solyc09g072810	N/A	N/A	N/A	SP	signalp-5.0b
Solyc11g069960	N/A	N/A	N/A	SP	signalp-5.0b
Solyc12g014350	N/A	N/A	N/A	SP	signalp-5.0b
Solyc12g096710	N/A	N/A	N/A	SP	signalp-5.0b
Solyc01g067020	23aa	242	264	TM	tmhmm2.0c
Solyc01g102710	18aa	7	24	TM	tmhmm2.0c
Solyc01g102710	23aa	563	585	TM	tmhmm2.0c
Solyc01g104970	23aa	5	27	TM	tmhmm2.0c
Solyc01g104970	23aa	231	253	TM	tmhmm2.0c
Solyc01g108840	23aa	7	29	TM	tmhmm2.0c
Solyc01g108840	23aa	486	508	TM	tmhmm2.0c
Solyc02g070890	18aa	7	24	TM	tmhmm2.0c
Solyc02g070890	23aa	810	832	TM	tmhmm2.0c
Solyc02g093970	23aa	2	24	TM	tmhmm2.0c
Solyc02g093970	23aa	394	416	TM	tmhmm2.0c
Solyc03g005130	23aa	424	446	TM	tmhmm2.0c
Solyc03g006030	23aa	7	29	TM	tmhmm2.0c
Solyc03g006030	23aa	935	957	TM	tmhmm2.0c
