ProteinID	Length	Start	End	Domain	Tool
Solyc01g005730	N/A	N/A	N/A	SP	signalp-5.0b
Solyc01g081410	N/A	N/A	N/A	SP	signalp-5.0b
Solyc01g105770	N/A	N/A	N/A	SP	signalp-5.0b
Solyc01g106500	N/A	N/A	N/A	SP	signalp-5.0b
Solyc01g107670	N/A	N/A	N/A	SP	signalp-5.0b
Solyc03g019890	N/A	N/A	N/A	SP	signalp-5.0b
Solyc03g031530	N/A	N/A	N/A	SP	signalp-5.0b
Solyc03g031790	N/A	N/A	N/A	SP	signalp-5.0b
Solyc03g082660	N/A	N/A	N/A	SP	signalp-5.0b
Solyc04g014400	N/A	N/A	N/A	SP	signalp-5.0b
Solyc05g026240	N/A	N/A	N/A	SP	signalp-5.0b
Solyc06g008300	N/A	N/A	N/A	SP	signalp-5.0b
Solyc06g060520	N/A	N/A	N/A	SP	signalp-5.0b
Solyc07g008590	N/A	N/A	N/A	SP	signalp-5.0b
Solyc07g008600	N/A	N/A	N/A	SP	signalp-5.0b
Solyc07g008620	N/A	N/A	N/A	SP	signalp-5.0b
Solyc07g049370	N/A	N/A	N/A	SP	signalp-5.0b
Solyc07g062700	N/A	N/A	N/A	SP	signalp-5.0b
Solyc08g077430	N/A	N/A	N/A	SP	signalp-5.0b
Solyc08g077740	N/A	N/A	N/A	SP	signalp-5.0b
Solyc08g078650	N/A	N/A	N/A	SP	signalp-5.0b
Solyc11g011180	N/A	N/A	N/A	SP	signalp-5.0b
Solyc11g066620	N/A	N/A	N/A	SP	signalp-5.0b
Solyc12g006980	N/A	N/A	N/A	SP	signalp-5.0b
Solyc12g014420	N/A	N/A	N/A	SP	signalp-5.0b
Solyc01g005730	23aa	776	798	TM	tmhmm2.0c
Solyc01g081410	18aa	7	24	TM	tmhmm2.0c
Solyc01g081410	23aa	63	85	TM	tmhmm2.0c
Solyc01g081410	23aa	98	120	TM	tmhmm2.0c
Solyc01g081410	20aa	135	154	TM	tmhmm2.0c
Solyc01g081410	23aa	166	188	TM	tmhmm2.0c
Solyc01g081410	20aa	208	227	TM	tmhmm2.0c
Solyc01g081410	20aa	234	253	TM	tmhmm2.0c
Solyc01g081410	23aa	335	357	TM	tmhmm2.0c
Solyc01g081410	20aa	369	388	TM	tmhmm2.0c
Solyc01g081410	20aa	403	422	TM	tmhmm2.0c
Solyc01g105770	23aa	7	29	TM	tmhmm2.0c
Solyc01g106500	23aa	7	29	TM	tmhmm2.0c
Solyc01g106500	23aa	609	631	TM	tmhmm2.0c
Solyc01g107670	23aa	20	42	TM	tmhmm2.0c
Solyc03g019890	23aa	13	35	TM	tmhmm2.0c
Solyc03g031530	20aa	15	34	TM	tmhmm2.0c
Solyc03g031530	23aa	68	90	TM	tmhmm2.0c
Solyc03g031530	18aa	95	112	TM	tmhmm2.0c
Solyc03g031530	23aa	117	139	TM	tmhmm2.0c
Solyc03g031530	23aa	154	176	TM	tmhmm2.0c
Solyc03g031530	23aa	181	203	TM	tmhmm2.0c
Solyc03g031530	23aa	235	257	TM	tmhmm2.0c
Solyc03g031530	23aa	274	296	TM	tmhmm2.0c
Solyc03g031530	23aa	324	346	TM	tmhmm2.0c
Solyc03g031530	23aa	351	373	TM	tmhmm2.0c
Solyc03g031530	23aa	388	410	TM	tmhmm2.0c
Solyc03g031530	23aa	422	444	TM	tmhmm2.0c
Solyc03g031790	20aa	189	208	TM	tmhmm2.0c
Solyc03g031790	23aa	218	240	TM	tmhmm2.0c
Solyc03g031790	23aa	267	289	TM	tmhmm2.0c
Solyc03g031790	18aa	299	316	TM	tmhmm2.0c
Solyc03g082660	20aa	4	23	TM	tmhmm2.0c
Solyc03g082660	23aa	43	65	TM	tmhmm2.0c
Solyc03g082660	23aa	75	97	TM	tmhmm2.0c
Solyc03g082660	23aa	130	152	TM	tmhmm2.0c
Solyc03g082660	20aa	172	191	TM	tmhmm2.0c
Solyc03g082660	23aa	196	218	TM	tmhmm2.0c
Solyc03g082660	23aa	285	307	TM	tmhmm2.0c
Solyc03g082660	20aa	319	338	TM	tmhmm2.0c
Solyc03g082660	23aa	348	370	TM	tmhmm2.0c
Solyc03g082660	18aa	391	408	TM	tmhmm2.0c
Solyc03g082660	18aa	413	430	TM	tmhmm2.0c
Solyc04g014400	23aa	1085	1107	TM	tmhmm2.0c
Solyc05g026240	23aa	7	29	TM	tmhmm2.0c
Solyc06g008300	20aa	915	934	TM	tmhmm2.0c
Solyc06g060520	23aa	227	249	TM	tmhmm2.0c
Solyc07g008590	23aa	988	1010	TM	tmhmm2.0c
Solyc07g008600	23aa	12	34	TM	tmhmm2.0c
Solyc07g008600	23aa	959	981	TM	tmhmm2.0c
Solyc07g008620	23aa	972	994	TM	tmhmm2.0c
Solyc07g049370	23aa	7	29	TM	tmhmm2.0c
Solyc07g062700	20aa	13	32	TM	tmhmm2.0c
Solyc07g062700	23aa	86	108	TM	tmhmm2.0c
Solyc07g062700	23aa	113	135	TM	tmhmm2.0c
Solyc07g062700	23aa	155	177	TM	tmhmm2.0c
Solyc07g062700	23aa	212	234	TM	tmhmm2.0c
Solyc07g062700	23aa	244	266	TM	tmhmm2.0c
Solyc07g062700	20aa	436	455	TM	tmhmm2.0c
Solyc07g062700	23aa	470	492	TM	tmhmm2.0c
Solyc07g062700	23aa	505	527	TM	tmhmm2.0c
Solyc07g062700	23aa	531	553	TM	tmhmm2.0c
Solyc07g062700	23aa	560	582	TM	tmhmm2.0c
Solyc08g077430	23aa	879	901	TM	tmhmm2.0c
Solyc08g077430	23aa	1292	1314	TM	tmhmm2.0c
Solyc08g077430	23aa	1319	1341	TM	tmhmm2.0c
Solyc08g077430	23aa	1354	1376	TM	tmhmm2.0c
Solyc08g077740	23aa	901	923	TM	tmhmm2.0c
Solyc08g078650	20aa	7	26	TM	tmhmm2.0c
Solyc08g078650	23aa	297	319	TM	tmhmm2.0c
Solyc08g078650	22aa	340	361	TM	tmhmm2.0c
Solyc08g078650	23aa	365	387	TM	tmhmm2.0c
Solyc08g078650	20aa	392	411	TM	tmhmm2.0c
Solyc08g078650	23aa	415	437	TM	tmhmm2.0c
Solyc11g011180	18aa	7	24	TM	tmhmm2.0c
Solyc11g011180	23aa	945	967	TM	tmhmm2.0c
Solyc11g011180	18aa	974	991	TM	tmhmm2.0c
Solyc11g066620	20aa	5	24	TM	tmhmm2.0c
Solyc11g066620	23aa	476	498	TM	tmhmm2.0c
Solyc12g006980	23aa	7	29	TM	tmhmm2.0c
Solyc12g014420	23aa	7	29	TM	tmhmm2.0c
Solyc01g005730	26aa	83	108	LRR	DeepLRR
Solyc01g005730	20aa	109	128	LRR	DeepLRR
Solyc01g005730	24aa	133	156	LRR	DeepLRR
Solyc01g005730	20aa	163	182	LRR	DeepLRR
Solyc01g005730	25aa	183	207	LRR	DeepLRR
Solyc01g005730	20aa	209	228	LRR	DeepLRR
Solyc01g005730	20aa	235	254	LRR	DeepLRR
Solyc01g005730	20aa	259	278	LRR	DeepLRR
Solyc01g005730	22aa	283	304	LRR	DeepLRR
Solyc01g005730	21aa	306	326	LRR	DeepLRR
Solyc01g005730	20aa	329	348	LRR	DeepLRR
Solyc01g005730	20aa	353	372	LRR	DeepLRR
Solyc01g005730	20aa	377	396	LRR	DeepLRR
Solyc01g005730	20aa	399	418	LRR	DeepLRR
Solyc01g005730	20aa	422	441	LRR	DeepLRR
Solyc01g005730	23aa	446	468	LRR	DeepLRR
Solyc01g005730	20aa	471	490	LRR	DeepLRR
Solyc01g005730	20aa	495	514	LRR	DeepLRR
Solyc01g005730	20aa	519	538	LRR	DeepLRR
Solyc01g005730	25aa	541	565	LRR	DeepLRR
Solyc01g005730	20aa	569	588	LRR	DeepLRR
Solyc01g005730	20aa	634	653	LRR	DeepLRR
Solyc01g005730	20aa	658	677	LRR	DeepLRR
Solyc01g005730	20aa	682	701	LRR	DeepLRR
Solyc01g005730	20aa	706	725	LRR	DeepLRR
Solyc01g081410	25aa	132	156	LRR	DeepLRR
Solyc01g081410	20aa	161	180	LRR	DeepLRR
Solyc01g081410	20aa	181	200	LRR	DeepLRR
Solyc01g105770	20aa	301	320	LRR	DeepLRR
Solyc01g105770	20aa	322	341	LRR	DeepLRR
Solyc01g105770	20aa	343	362	LRR	DeepLRR
Solyc01g106500	25aa	43	67	LRR	DeepLRR
Solyc01g106500	25aa	71	95	LRR	DeepLRR
Solyc01g106500	20aa	98	117	LRR	DeepLRR
Solyc01g106500	20aa	122	141	LRR	DeepLRR
Solyc01g106500	20aa	145	164	LRR	DeepLRR
Solyc01g106500	22aa	170	191	LRR	DeepLRR
Solyc01g106500	23aa	195	217	LRR	DeepLRR
Solyc01g106500	20aa	219	238	LRR	DeepLRR
Solyc01g106500	20aa	243	262	LRR	DeepLRR
Solyc01g106500	23aa	267	289	LRR	DeepLRR
Solyc01g106500	20aa	290	309	LRR	DeepLRR
